premise,hypothesis,label
seorang wanita dengan jaket merah dan kerudung melihat pemandangan teluk yang indah melalui satu set teropong berbayar di dek observasi.,"Wanita itu berbaring di pantai, mengerjakan kulit cokelatnya.",2
Anak-anak berseragam putih dan biru sedang duduk di meja merah mereka di ruang kelas hijau mereka.,Meja tidak sesuai dengan seragam.,0
Seorang anak laki-laki berada di kebun labu sambil memegang labu besar.,Seorang anak laki-laki melempar labu ke labu lain di tambalan.,2
Seorang seniman grafiti melukis di atas poster di dinding bata.,Seorang seniman grafiti sedang melukis sesuatu di dinding bata.,0
Seorang pria berbaju kuning sedang menggiring seekor binatang yang sedang memindahkan material untuknya.,Pria itu sedang membangun bank.,1
Seorang wanita muda mengenakan pakaian dansa hitam dan merah melakukan gerakan tarian melompat.,wanita tampil untuk kelasnya,1
Seorang wanita berambut hitam mengenakan gaun polkadot hitam putih sedang bernyanyi ke mikrofon.,Seorang wanita tahu cara bernyanyi.,0
Anak laki-laki bermain di dekat air dan salah satunya melompat.,Anak laki-laki bermain di taman.,1
dua gadis dan seorang pria kulit hitam semuanya mengenakan pakaian hitam.,Orang-orang ini ada di pesta pernikahan.,1
Seorang pria bertato menggendong seorang anak kecil yang sedang menggenggam uang.,Seorang pria dan seorang anak kecil,1
Orang-orang mengendarai game sensasi.,Orang-orang membeli permen kapas.,2
Pemuat lewati memindahkan tanah di hutan sementara 2 orang mengawasi dan mengarahkan.,Sebuah mesin duduk dengan tenang sementara dua pria sedang tidur,2
Gadis kecil yang mengenakan baju merah dan dengan sweter sedang meniup gelembung dengan tongkat besar.,Seorang gadis akan jatuh saat berlari.,1
"Dua orang sedang duduk sarapan, yang satu memakai jaket hijau dan memegang sepotong makanan.",Ada dua orang.,0
Seorang pria memegang tali yang diikatkan pada seekor babi.,Ada seorang pria dengan babi.,0
Seorang anak meniup gelembung dalam air.,Seorang anak berada di kolam renang.,1
Seorang pria berbaju hitam dan bertopi hitam sedang memainkan terompet.,Seorang pria memainkan alat musik.,0
"Seorang laki-laki duduk di atas sepeda motor bernomor polisi 66197, dan helm merah terpasang di salah satu setangnya.",Sepeda motor itu adalah harley.,1
Seorang gadis kecil melakukan hula hoop di belakang latar belakang balon.,Seorang anak sedang bersenang-senang dengan mainan.,0
Anak laki-laki yang mengenakan kemeja hijau sedang memanjat tiup biru.,Anak itu sedang membaca buku di bawah selimut tempat tidurnya di malam hari.,2
Seorang pria dengan kaos berpose di klub yang ramai.,Seorang pria sedang tidur.,2
"Seorang pria, ditutupi selimut oranye, sedang tidur di trotoar di samping cangkir dengan uang receh di dalamnya.",Seorang pria sedang memasak makan malamnya.,2
Sekelompok orang di meja rapat dengan beberapa komputer.,Sekelompok orang di meja.,0
Seorang polisi mengenakan jaket reflektif kuning mengendarai sepeda motor melambai ke kamera.,Seorang pria di atas sepeda motor tersenyum sambil melambai ke kamera.,1
Seorang pria di lapangan dengan pesawat yang terlihat.,Pria itu berjalan dengan susah payah melalui hutan rawa.,2
Pria berbaju biru itu ditabrak petugas.,Petugas polisi itu jatuh ke tanah.,2
Seorang pria bertopi dengan janggut bersandar ke jendela dan membaca majalah.,Seorang pria mengenakan kemeja biru dan membaca majalah orang,1
Seseorang dengan celana renang melompat dari seluncuran tiup,orang tersebut sedang bersenang-senang,1
"dua pria berlomba dengan sepeda motor, berharap menjadi pemenang.",Dua teman mengadakan balapan sepeda motor persahabatan.,1
Seorang pria berbaju kuning sedang melempar lembing ke lintasan.,dia sedang berlatih,1
Seorang gadis kecil melakukan hula hoop di belakang latar belakang balon.,Seorang gadis duduk dan menangis sambil menunjuk seorang teman di seberang taman bermain.,2
seekor anjing coklat dan hitam berlari di pantai dekat pantai.,Seekor anjing berlarian sementara pemiliknya mengawasi dari kursi pantai.,1
"Seorang pria dengan kaos biru, duduk di tempat tidur menatap sesuatu dengan takjub",Seorang pria menatap ingin tahu sesuatu.,0
Seorang wanita tidur di belakang meja toko.,Seseorang sedang tidur di belakang meja.,0
Dua wanita dengan penutup kepala berbicara di latar depan dengan dua pria dengan penutup kepala yang berbeda di latar belakang.,Dua wanita dengan hiasan kepala sedang berbicara.,0
Seorang pria menjual karya seni di jalan dengan kereta kuda di belakangnya.,Seorang pria duduk dengan tenang di kereta kuda.,2
Seorang gadis muda menunjukkan lidah ungunya,Seorang gadis muda menunjukkan kaki ungunya.,2
Seorang wanita bertopi mengenakan pakaian merah jambu dan merah.,Wanita itu telanjang di sauna.,2
Seorang anak lucu berjalan-jalan di taman dengan kereta Radio Flyer.,Seorang anak berada di kereta merah kecil.,0
Seorang anak yang bahagia tersenyum saat dia bermain.,Seorang anak tersenyum saat ayahnya membuat wajah lucu.,1
"pemain skateboard ""Meletuskan wheelie"" di dekat air.",Skateboarder membuat wheelie,0
Tiga wanita di dalam bar semuanya memegang minuman di tangan mereka.,ada sekelompok orang di luar di sebuah restoran sedang makan malam dan melambai-lambaikan serbet mereka ke udara,2
Wanita yang lebih tua mengenakan jilbab dan pakaian dari berbagai warna menatap ke depan.,Wanita sedang melihat gambar.,1
Seorang dokter pria mewawancarai seorang wanita paruh baya.,Seorang dokter pria sedang melakukan operasi pada wanita paruh baya.,2
"Seorang wanita tersenyum dengan gigi bagus mandi busa, dua anting di telinga kanannya dan potongan rambut pendek.",Seseorang berbaring di sofa.,2
tiga betina digantung sementara tiga betina lainnya berjalan pergi.,Kedua kelompok berpisah setelah mereka mengeluarkan kata-kata panas.,1
Seorang wanita dengan rambut hitam dan celemek kotak-kotak merah menyiapkan makanan.,Tidak ada orang di sekitar untuk menyiapkan makanan.,2
Seorang bayi ada di kursi mobil mereka yang berwarna aqua.,Seorang bayi duduk di kursi merah.,2
dua wanita paruh baya tersenyum ke arah kamera.,Kedua wanita itu adalah saudara perempuan.,1
Seorang pelatih mengenakan kemeja putih dan topi di sela-sela pertandingan.,Pria yang mengenakan kemeja merah berlari menuju tengah lapangan.,2
Seorang laki-laki sedang membangun tembok.,Ada seorang laki-laki membangun tembok untuk sebuah rumah.,1
Seorang pria berjanggut berdiri di dua tangga di pintu akses loteng memiliki ekspresi ngeri di wajahnya.,"Ekspresi ngeri di wajah seorang pria, saat berdiri di atas dua tangga di bawah pintu akses loteng",0
"Seorang wanita berkuncir kuda dengan jaket kulit berdiri di luar sebuah toko yang bertuliskan ""Sejak 1889"".",wanita itu ada di dalam ruangan,2
"Seorang balita, saat duduk di kereta dorong, dibuat bingung oleh buku anak Korea.",Balita itu tersenyum sambil melihat buku itu.,1
Seorang pria berbaju cokelat sedang memotong rambut klien.,Seorang pria berbaju putih sedang mencuci mobilnya.,2
Seorang lelaki tua mengendarai sepeda melewati sebuah restoran di jalan berbatu.,Seorang pria bersepeda melewati sebuah restoran di Paris.,1
Seorang anak yang bahagia menikmati ayunan.,seorang anak menangis.,2
Seorang pria kayak dengan kayak biru dan putih melewati jeram.,Seorang pria sedang kayak.,0
Seorang wanita dengan tank top putih dan celana pendek jean berjalan di trotoar berpasir.,Seorang wanita mengenakan tank top putih dan kepang kuning.,1
seekor anjing tan berlari di atas rumput dengan seekor anjing coklat berlari di belakangnya,Satu anjing mengejar anjing lain di rumput.,1
Seorang anak laki-laki di udara mencoba menghindari bola yang dilemparkan ke arahnya.,Seorang anak menghindari sesuatu.,1
Kucing itu memalingkan muka dari orang di sebelahnya.,Kucing itu membuang muka.,0
Beberapa orang duduk di meja yang menyala di depan orang banyak,Orang-orang menari.,2
Anak di kereta dorong dengan kemeja oranye.,Anak itu berjalan di samping kereta dorong.,2
Seorang gadis dengan rambut bergaris merah muda dan bulu uggs menoleh ke belakang sementara gadis yang berjalan di sebelahnya menatapnya.,Dua gadis berjuang untuk mengisi formulir pajak.,2
Seorang pria sedang menyiapkan makanan di toko makanan luar ruangan di tempat yang tampak seperti negara miskin.,Seorang pria menyiapkan makanan.,0
Sebuah foto diambil dari pantulan cermin sebuah kafe.,foto diambil di kafe saat pesta,1
Seorang gadis kecil mengenakan pakaian putih dan merah mengambil gambar orang dewasa.,Seorang gadis memotret neneknya.,1
Tiga orang berada di trotoar kota - pasangan Asia dan seorang wanita dengan pewarna merah di rambutnya - semuanya memakai kacamata hitam.,Tiga orang dengan kacamata hitam di trotoar,0
Tembakan aksi pemain bola voli yang sedang memukul bola.,dia sedang bermain bisbol,2
Seorang pria kulit hitam dengan topi putih dan tank top bersandar di atas area kerja kayu dengan alat ukiran di tangannya di antara alat-alat lainnya.,Pria kulit hitam itu mempersiapkan dirinya untuk bekerja di area kerja.,1
Seorang anak laki-laki dengan celana renang sedang berlari di pantai menghadap cakrawala kota.,seorang anak laki-laki di bagasi,0
Kabel telepon terlihat.,Kabel telepon tidak terlihat.,2
Seorang wanita melihat beberapa lembar kertas.,Wanita itu buta,2
Seekor anjing hitam berlari dengan mainan biru di mulutnya.,Seekor anjing bermain dengan mainan favoritnya,1
Seorang wanita memperhatikan saat bola bowlingnya menggelinding ke arah pin.,Seorang wanita sedang bermain bowling.,0
Seorang snowboarder meninggalkan jejak salju di gunung.,Snowboarder ada di pantai.,2
Di dalam sebuah bar ada orang-orang dengan baju merah.,Ada orang yang memakai baju merah di bar.,0
"Seorang gadis berdiri di samping sebuah sepeda yang diparkir di depan sebuah gedung sementara dua pria, salah satunya membawa gitar, lewat.",Dua pria berpakaian putih berjalan menyusuri jalan melewati seorang gadis muda berpakaian hitam.,1
Dr. Nava mengerjakan beberapa persamaan matematika di papan tulis.,Dr Nava tertidur.,2
Sekelompok orang berdiri di sekitar dan seorang pria membuat wajah aneh dengan mata melotot.,Pria itu membuat wajah aneh dengan mata juling.,2
Seorang pria sedang menendang bola di lapangan kosong.,Seorang pria memiliki bola di lapangan sendirian.,0
Tiga ekor anjing dengan warna coklat dan putih yang berbeda sedang berlari di lapangan.,Sekelompok kecil hewan sedang berlari keluar.,0
"Seekor anjing berlari di jalan, membawa koran.",Hewan yang membawa sesuatu di mulutnya.,0
Seorang lelaki tua sedang memeluk seorang wanita dengan atasan bergaris merah di sofa.,Dua orang menangis sambil berpelukan,1
"Tiga anak anjing berbaring di sofa dengan sebotol susu, satu dengan mulut terbuka lebar.",Tiga anak anjing Dachshund berbaring di sofa dengan sebotol susu.,1
Seorang pria berbaju merah sedang menyiapkan makanan di dapur.,pria itu sedang menyiapkan bom,2
"Dua wanita bersantai di kursi di samping meja yang sarat dengan makanan pesta, dan mendiskusikan undang-undang warna-warni di dekat dinding.",Dua wanita bersantai di kursi.,0
"Tiga bocah laki-laki bergulat dan satu bertelanjang dada, tersenyum, dan menghadap ke kamera.",Ada orang yang bergulat di luar ruangan,1
Seorang gadis muda menendang bola sepak.,Ada interaksi dengan bola sepak.,0
Ada dua pria berbaju pelampung oranye memberi isyarat ke kapal pesiar yang berlabuh di dermaga.,Ada dua pria di luar,0
Remaja mengendarai melalui hutan dengan sepeda gunungnya.,Remaja itu mengendarai mobil melewati hutan.,2
Pria bercelana merah berbaris dengan tongkat di tangan mereka dan lampu terang menyala di sekitar mereka.,Pria mengenakan celana biru,2
Seseorang berbaju biru duduk di belakang dua orang yang duduk di bangku kayu.,Seseorang berbaju duduk di belakang dua orang yang duduk di bangku kayu.,0
Setengah lusin pekerja konstruksi berdiri di samping peralatan besar.,para pekerja mengheningkan cipta sejenak,1
tiga anak pirang berpakaian bagus di dalam sangkar.,Anak-anak memiliki kesamaan.,0
Pria bule bersepeda di depan dua bangunan kuning tua.,Seorang pria mengendarai sepedanya di luar.,0
Seorang gadis muda dan seorang wanita berdiri dengan gaun putih berdiri di dinding.,Dua wanita berpose untuk pemotretan.,1
Dua gadis tertawa sementara gadis-gadis lain melihat.,Dua gadis menangis karena seorang anak laki-laki menendang tulang kering mereka.,2
Seorang wanita sedang berjalan bayinya dengan kereta dorong di taman lokal.,Pria itu dan temannya sedang bermain.,2
ini adalah wanita yang mengenakan kaus kakinya.,Wanita itu bersiap-siap untuk kencan.,1
Seorang wanita bertopi merah muda sedang berinteraksi dengan seorang wanita bertopi cokelat dan berjaket biru di sebuah acara.,obrolan dua hakim wanita,1
Seorang wanita melihat layar berwarna-warni,Wanita itu melihat barang dagangan di jendela.,1
"Seorang wanita berjubah putih duduk di meja kamar mandi di depan cermin, merias mata.",Seorang wanita duduk dan memakai kosmetik.,0
Dua pembalap motor sedang dalam balapan jarak dekat.,Beberapa orang sedang memeriksa sepeda motor mereka.,2
Wanita di salon dengan rambut hitam di bawah helm pengering.,Wanita itu tidak memiliki rambut.,2
Pria tak berbaju berbaring di atas handuk di rumput.,Sebuah peletakan manusia.,0
Seorang lelaki tua berdiri sambil memandangi seember besar tepung.,Seorang lelaki tua sedang melihat ember.,0
"Orang-orang berkumpul untuk hari pasar petani, berbelanja bahan makanan dan pakaian di hari yang cerah.",Orang-orang berbelanja di pasar petani mingguan.,1
Pria berbaju biru dan celana pendek putih bermain tenis.,Pria yang sedang bermain tenis mengenakan celana pendek putih.,0
Seorang wanita berbaju biru mengendarai sepeda melewati wanita lain dan seorang pria yang sedang berjalan.,Kursi sepeda nyaman,1
Ada barang-barang yang digantung di latar belakang dan kemudian ada meja piknik yang terbuat dari kayu dan dua pemanggang besar tempat orang memasak dan seorang pria menonton.,Orang-orang mengadakan reuni keluarga.,1
Dua wanita berjalan di trotoar di kota berkomunikasi satu sama lain.,para wanita pergi berbelanja,1
Seorang pekerja konstruksi sedang menggali di depan sebuah mesin.,Seorang karyawan muda dari sebuah perusahaan konstruksi menggali lubang di depan sebuah mesin.,1
Seorang tentara berpakaian kamuflase dengan senjata api hitam di jalan.,Tidak ada tentara.,2
Saya menikmati mainan baru saya untuk Natal.,Saya senang dengan tongkat bisbol baru yang saya dapatkan untuk Natal.,1
Seekor anjing mengejar binatang putih di halaman hijau.,seekor anjing mengejar binatang putih di luar ruangan,0
Seorang wanita tidur sambil berdiri.,Seorang wanita sedang berdiri.,0
Seorang lelaki tua berjanggut putih sedang membaca.,Orang tua itu sedang membaca Alkitab.,1
dua pria yang sangat berlumpur mengebor minyak,Beberapa pekerja minyak dengan kain berlumpur menutup shift pengeboran minyak mereka,1
"Seorang wanita muda tersenyum saat dia menembakkan senjata ke jarak sasaran dalam ruangan, saat seorang pria yang lebih tua memandang dengan gembira.",Seorang wanita berada di dalam jangkauan target.,0
Penonton melihat saat para pelawak pengadilan berada di jalan melemparkan sesuatu ke udara.,Kerumunan sedang dihibur.,0
Pria tua dengan tongkat membungkuk di dekat pria dan wanita.,Seorang pria memiliki tongkat dan berada di dekat dua orang lainnya.,0
Seorang pria sedang memasang tembok.,Seorang pria sedang mencoba untuk menjaga orang keluar.,1
Dua gadis muda mengambil foto diri mereka sendiri dengan kamera.,Ada gadis-gadis yang memotret diri mereka sendiri.,0
Seorang anak membuat wajah meringis sambil dibungkus handuk.,Anak itu bertingkah normal,2
Seorang pria dengan kemeja garis-garis hijau dan putih membawa keranjang besar di bahunya.,Seorang pria sedang duduk di bangku.,2
Seorang wanita dengan kemeja merah marun dan celana jeans biru di lingkungan kerja menggunakan katrol untuk memindahkan struktur.,Seorang wanita menggunakan katrol untuk bergerak.,2
Tiga pekerja konstruksi mendiskusikan bagaimana sebuah proyek harus dimulai.,Orang-orang itu sedang merencanakan lokasi konstruksi.,0
Pertempuran memperebutkan keping di pertandingan hoki.,Lebih dari satu pemain menginginkan keping hoki.,0
Seorang pria sedang menghias kue.,Kue sedang dihias.,0
"Seorang lelaki tua, dengan setelan garis-garis cokelat, sedang memegang spidol dan menulis di selembar kertas putih.",Orang tersebut siap untuk masuk ke kolam.,2
Seekor anjing hitam dan hitam sedang berlari.,Dua makhluk hidup berjalan.,0
Seorang anak laki-laki dengan mantel kuning dan hitam bermain dengan anjing coklat.,Seorang anak laki-laki sedang bermain lempar tangkap dengan seekor anjing.,1
Seorang anak laki-laki dan perempuan sedang berayun di ayunan di taman.,ada satu set ayunan,0
Seorang wanita tersenyum dan membaca koran di belakang iklan lampu kuncup.,Pria ini menikmati majalahnya.,2
"Sekelompok wanita, yang terlihat tidak senang, sedang duduk di dapur berbicara.",Beberapa orang sedang bercakap-cakap.,0
Seorang wanita mengenakan lingerie berpose dalam pemotretan glamor.,seseorang mengambil beberapa foto,0
Seekor kucing melihat dari atas lembaran musik dari balik lampu.,Pemilik kucing sedang bermain piano saat kucing mengintip dari lembaran musik.,1
Dua pria bertopi dan ponco menunggang kuda mengejar banteng.,laki-laki di atas kuda mengejar banteng,0
Seorang anak laki-laki sedang menulis seseorang di spanduk.,Seorang anak laki-laki membuat pemberitahuan kepada seseorang.,0
Seorang pria berbaju merah dan bertopi biru menggali pasir di depan patung pasir seorang pria yang duduk di singgasana.,Seorang pria memindahkan pasir di depan karya seni yang terbuat dari pasir.,0
Seorang wanita mengenakan gaun putih pendek sambil mengendarai sepeda yang memiliki keranjang di depan dengan barang-barang di dalamnya.,Sepeda membawa muatan.,0
Seorang wanita dengan atasan merah tanpa lengan dan rok hitam panjang menggendong seorang anak kecil di lengannya dan memegang tangan anak kecil lainnya saat dia berjalan.,Seorang wanita mengantarkan anak-anaknya ke sekolah.,1
Seorang peselancar mengudara di atas gelombang.,Seorang peselancar menunggangi ombak.,0
Tiga anjing berlari di sepanjang halaman berumput.,Anjing berlari mengejar bola di rumput.,1
Seorang bayi tidur dengan pakaian bergaris merah muda.,Seorang bayi tidur dengan pakaian merah muda,0
seorang pria yang mengenakan kemeja biru dan topi melompat dengan satu roda di langkan air mancur,Pria itu sedang melompat.,0
Seorang koboi Menali anak sapi di rodeo.,Seorang pria bekerja di kantor dengan laptop.,2
Seorang pemain ski melompati tumpukan salju tinggi di pepohonan.,Pemain ski itu adalah seorang Olympian.,1
Dua gadis berbicara sambil duduk di tangga.,Gadis-gadis berbicara tentang anak laki-laki.,1
"Seorang pria duduk di kopernya di jalan, mengemis.",Pria itu berada di luar ruangan.,0
"Dua pria bermain bola, satu putih satu hitam, dengan satu hitam melompat ke sisi kanan bingkai.",laki-laki mengendarai sepeda,2
Seorang peselancar mengendarai ombak besar,Seseorang berselancar.,0
Seorang anak laki-laki dengan kerangka di bajunya tertawa.,Seorang anak laki-laki tertawa,0
Sekelompok pria sedang mengendarai sepeda di trek dalam ruangan.,beberapa pria ada di dalam,0
Seorang pria menggunakan roda untuk membuat tembikar.,Seorang pria sedang membuat tembikar di atas roda tembikar.,0
Seorang wanita dengan kemeja abu-abu dan celemek putih kotor bekerja dengan kayu.,Begitu banyak wanita tua yang berdandan dengan gaya tahun 60-an untuk parade Hari Buruh,2
Tiga remaja membawa kayu menyusuri jalan sementara salah satu remaja tersenyum ke arah kamera.,Remaja mengumpulkan kayu untuk dibawa kembali ke rumah mereka agar tetap hangat.,1
Sekelompok anak-anak di taman menyaksikan seorang gadis muda dengan kemeja ungu dan rok jeans biru membuat gelembung besar.,Anak-anak berada di taman untuk pesta ulang tahun.,1
bob dylan tampil dengan dua penyanyi latar,Dia bermain solo.,2
Dua pria berjalan melewati mural sebuah mobil.,Kedua orang itu berada di dekat mural dan di dekat mobil.,1
"Beberapa orang, termasuk seorang gadis kecil bermain game di video arcade.",orang berada di dalam gedung,0
Tiga pria mengenakan rompi kerja kuning berdiri di antara sekelompok orang.,Orang-orang berbaju kuning itu bersama sekelompok orang.,0
Seorang wanita yang mengenakan kemeja abu-abu dan celana pendek putih sedang bermain golf di area golf yang ditata menarik dengan bunga.,Seorang wanita bermain golf di lapangan golf baru yang baru saja dibuka.,1
Seorang pemuda memainkan gitar listrik.,Pria itu sedang berlatih gitar.,1
Wanita Asia berbaju putih berdiri menjauh dari kerumunan di belakangnya.,wanita itu pemalu,1
Empat orang duduk di bus membaca.,Empat orang sedang membaca 'The Lord Of The Rings' di sebuah bus.,1
Seorang pria berdiri di atas panggung dengan kembang api meledak di sampingnya.,Kembang apinya cerah dan berisik.,0
Seorang pria yang memakai topi keras sedang memasukkan sikat ke pemotong kayu industri.,Seorang pria memasukkan sikat ke dalam chipper kayu.,0
Ini adalah restoran bergaya keluarga yang juga memiliki tempat musik.,Tidak ada tempat musik,2
Sepatu roda meluncur di pagar.,Sepatu roda sedang bergerak.,0
Tiga anak kecil bermain di air mancur.,Anak-anak duduk di sungai.,2
Lima penari balet tertangkap tengah melompat di sebuah studio menari dengan sinar matahari masuk melalui jendela.,Ini siang hari.,0
Seorang pria muda bertopi bisbol mendengarkan musik.,Seorang wanita muda mengenakan topi bisbol mendengarkan musik.,2
"Sebuah keluarga mengendarai kereta kuda gaya lama, dikemudikan oleh seorang pria dengan rompi dan topi derby, menuruni pohon dan semak-semak yang berbaris di jalan berumput",Ada sekelompok orang bergerak menyusuri jalan setapak.,0
Pemain ski menuruni bukit sambil mengenakan helm perak dan ransel merah.,Pemain ski itu dengan senang hati menuruni bukit,1
Seorang wanita sedang duduk di meja dengan tanda University of Phoenix di atasnya.,Seseorang sedang duduk.,1
Seorang pria berbaju putih memainkan gitar hitam putih.,Seseorang sedang menyiram rumput.,2
Orang-orang berbaju merah muda berjalan dalam parade.,Parade diadakan di luar ruangan.,0
Seorang pria bertopi sedang berjalan,Pria itu tidak memakai topi.,2
Pria gemuk memanggang hamburger di atas pemanggang gas.,Seorang pria sedang memanggang hamburger.,0
Pria di mesin jahit sedang menantikan.,Seseorang sedang menjahit.,1
Seorang anak kecil menari di depan sebuah band orkestra.,Tiga orang bermain lacrosse.,2
Seorang wanita dengan celana pendek biru dan kemeja putih sedang panjat tebing dalam ruangan.,Seorang wanita berolahraga,1
"Seekor Sheltie berlari melewati hutan dengan lidah terjulur, mulut terbuka.",Sheltie ada di kota.,2
Seorang gadis kecil mengenakan gaun hijau berdiri di depan genangan air.,seorang lelaki tua melolong keras pada seorang gadis yang bermain di salju.,2
Seorang anak laki-laki mengenakan seragam #24 berteriak saat pertandingan sepak bola.,Seorang anak laki-laki mengenakan seragam.,0
Seorang pria berkemeja putih sedang membaca sambil menunggu kereta.,Seorang pria sedang bermain game di iPad-nya selama perjalanan panjang dengan mobil.,2
Seorang wanita di sepeda menunggu sudut persimpangan di penyeberangan pejalan kaki.,Seorang wanita berada di luar di trotoar,1
Anak-anak bermain di air mancur.,Anak-anak sedang bermain bersama.,0
Orang yang melintasi jembatan dalam cahaya redup.,Seekor anjing melintasi jembatan redup.,2
Pemain ski muda dengan setelan ski merah muda berada di sisi bukit bersalju,Seorang pemain ski muda sedang bermain ski di sisi bukit bersalju.,1
Ada kerumunan orang dan banyak wanita muda India yang cantik mengenakan jubah biru dan membentangkan banyak seprai biru transparan melintasi halaman ke pasangan mereka.,Para wanita dikagumi karena penampilan mereka.,1
pria cina di toko berdiri di samping karton yang dipotong dari seorang wanita,Seorang pria berada di depan toko.,0
Seorang pria kulit putih duduk di kursi dengan keyboard di belakangnya.,Pria itu ada di Jupiter.,2
Seorang wanita dengan rambut merah cerah dan pakaian bergaris berbicara di telepon.,seseorang menggunakan telepon.,0
Orang Asia berjalan untuk bekerja melalui kota.,Ada orang yang duduk.,2
Seorang pria dengan pakaian salju biru melakukan flip di atas gunung bersalju yang besar.,Pria itu sedang mendayung perahu di danau.,2
Seorang pria sedang melakukan trik di atas sepeda di tanjakan sementara orang banyak menonton di dekatnya.,Seorang pria sedang mengendarai sepeda.,0
Seorang pria dan seekor anjing bermain dengan Frisbee.,Seseorang dan hewan peliharaannya bersenang-senang.,0
"Seorang pria mengenakan perlengkapan atletik dan kacamata hitam duduk di perahu, mendayung dengan dayung besar.",seorang pria di dayung perahu jon.,1
Seorang anak mendorong wajahnya ke arah jendela taman bermain.,Anak itu sedang memancing di perahu,2
seorang pria menatap batu bata.,seorang pria berenang di puding,2
Seorang wanita memasak kue untuk keluarganya.,wanita itu membuat kue untuk semua orang,0
Seorang pria melempar kartu saat dia dan wanita itu duduk dan bermain kartu.,Seorang pria dan wanita sedang duduk bersama.,0
Seorang anak laki-laki muda berwarna menangis saat berada di skateboard.,Anak laki-laki itu menangis karena baru saja bangun dari jatuh dari skateboardnya.,1
Seekor anjing kecil berdiri di lapangan.,Seekor anjing kecil menyerang seekor sapi.,2
"Satu anak laki-laki dan perempuan mengenakan pakaian salju, melompat ke udara dengan tangan terangkat di banyak salju.",Anak-anak kedinginan.,1
Pemain bola basket mencoba memblokir bola agar tidak masuk ke gawang.,Pemain bola basket berlari ke lapangan untuk melakukan layup,2
Seorang pria berdiri di depan roda gigi besar.,Seorang pria berdiri,0
